respond	context_0
Date time.	Whew.Whoa! Nana, how you doing? Looking hot in the track suit. Gym's on the second floor.
Oh no, that's Nana.	Dude! There you are. Two things, first, the aliens are here and they're wearing track suits.
Nice.	Oh. Second, I got a job.
Woo! Ah. Where were we?	And if you hadn't pushed me to do all of that extra mile stuff, that probably wouldn't have happened. So, thank you. You got a hottie waiting for you at the bar. You go get her.
That's one of my conditioners, yes.	Do I smell banana conditioner?
As great as this was, I couldn't stop thinking about what Turk said and howWhoa, this girl really digs hair. The point is, it's hard getting what happens at the hospital out of your head.	That's one of my conditioners, yes.
AAHHH!	As great as this was, I couldn't stop thinking about what Turk said and howWhoa, this girl really digs hair. The point is, it's hard getting what happens at the hospital out of your head.
I knew if I didn't leave that bar and go back, I'd never be able to enjoy any of the simple things. Even a woman eating my former bangs.	Not helping with the stress.
Voila!	I knew if I didn't leave that bar and go back, I'd never be able to enjoy any of the simple things. Even a woman eating my former bangs.
See, that's the thing about and extra mile guy. You never know who it's going to rub off on.	Voila!
How bad would she look with red highlights?	Hee hee hee hee!
All right, I'll count. Close a brother up.	I know. It is now my turn to hide.
I'm seeking you, Turk!	Is there a bigger idiot than you in the entire world?
Some things deserve to get tossed out on their asses.	If you would raise my allowance, I wouldn't have to bargain shop so I could buy pizza rolls. Secondly, this pregnancy test works just as well as the name-brand one!Wait a second. Results in three minutes.
But the thing you shouldn't toss out is a pregnancy test that takes two minutes longer than you thought.	OH! Oooh! Schoenen busen.
Every workplace has that guy who just has t top everyone's story.	Breaststroke five! Maybe later.
No. No more. Here are some of the lies you've told us over the last five years: You went to Harvard. You have a wife who only has a pointer and thumb-pinky. You have a a brother-dad, a mother-sister. You have two kids, no wait, you have one kid, no wait, you had a baby with a Chinese local, you're a deaf-mute, oh wait, now you're telling us that you're a world class hurdler and you slept with the beautiful and irreplaceable Amy Carter?	Good race.They offered me a full ride and Grambling, but then I slept with the President's daughter. Not the college president, the President of the United States. But, hey, if Amy Carter asks you out for a nightcap, you do not say no.
Ohh...	I I didn't sleep with Amy Carter. We did everything but.
We're not buying it, are we gang?	And I really was a world-class hurdler.
The people have spoken. Allow me to bask in the glow.	No, nah, heck no...
Not now, Turk, I'm glow-basking.	Oh-ho! J.D., guess what?
You tell him. Aw, just wait a mi OK, you tell him.	She just went downstairs. What is all the excitement?
Why don't I tell	What's going on?
Uh, Carla, preggo!	OK, you go
Wait, Turk! When has a man ever been able to tell his wife that she's pregnant? Allow me to paint you a picture with my imagination brush, OK? You two come out in the parking lot where all Carla's friends have gathered. They're holding a giant banner that says "Carla, you're pregnant, and I dove you." Did I say "dove?" I did, Turk. That's when I cue the bird-wrangler who releases 500 white doves into the air. Where do they land? I don't know. But one thing Carla knows is that in her uterus is a little, soft, baby Turk.	I haven't told her yet. I'm gonna go tell her now.
This won't be indoors, Turk, and there certainly won't be all those people throwing bird seed. Why were people throwing seed? It's a the point is that you, my friend, have a chance to be on the greatest surprise a husband has ever pulled for his wife. And you get credit for it the length of your entire marriage.	Are you forgetting what happened when you made me have doves at my parents' anniversary party?
Great, I'll tell everybody. You find Carla. Dr. Cox	I'm in!
Can you just please not tell Carla?	Ever since I was blitzkrieg'd this morning by an enraged German named Otto, a certain Dr. Barbie no longer exists for me. So, if she was to ask me a question, I wouldn't be able to hear it, and you'd have to repeat it.
And Elliot, if you see Carla, don't get emotional.	Fine.
Really? Baby.	Oh, no problem.
OK. Oooh, look at this one, he's so cute!	We just got a lot of great new grandfathers in.
I already have a grandma.If I get one this little, everyone's gonna think I'm gay.Aw, look at this fellow. Come here boy, I got a little hard candy for you.Yes, you're a good boy. You got a candy you can unwrap in a movie theater!I'd name him Sebastian.	He's not good with people.He's great, but we don't want to separate them.
Yeah, I pissed him off earlier today. How am I supposed to avoid him?	Hey, what's up with the Janitor? He seems a little more lurky than usual.
It would take a very clever plan to hide this tiny, penny-like sensor on him.	You should put the hide and seek sensor on him. That way you'll always know where he is.
Mr friend, we have just Lo-Jacked the Janitor. Hello.	We pulled it off. See if it works.
All right everybody, before Carla arrives I want to thank you all for turning out, especially you, Father Rosenberg. Incidentally, when all this is over, I'd love to get the back story on that name of yours, OK?Excuse me.OK, coming through. OK, now apparently they don't have fetus balloons. Who knew? So what I've done is attach string to the belly buttons of these baby balloons to signify the umbilical cord. OK, make sure everybody gets one.	Oh no.
Oh no. We got a glitch. Abort the plan! Abort the surprise! Abort the babies!EVERYBODY RUN!Sorry about the whole "abort the babies" thing.	Me too. Just need to send a quick text.
I may have gotten over-excited and told one or two of her family members that she's pregnant.	Sorry.What are you doing?
I felt like Turk was starting to blame me for all of this.	Turk, I think the answering machine is broken. And I don't think we have any more wine. Can I have some of yours?
Spilled mine, too.	I spilled mine, too, honey. You know what you should do? Ask for some of J.D.'s.
What are you going to do?	I'm going to bed.
Wait, Turk! I have an idea.	I'm gonna go tell her the truth and hope that she's so tired from being pregnant that she doesn't have the strength to kick my ass for more than a few hours.
It's a good 'un.	You have another idea, huh? I gotta tell you, I'm done with your ideas. And not just for now, but forever. OK, are we clear on that?
OK, we need Carla to find out she's pregnant on her own and we need your help. Can we count on you?	I'm listening.
If we go down, we're taking you with us.	Who's pregnant?
Really? Because I think you're both very close to Carla, aren't you? And yet you chose not to tell her she was pregnant. Turk how would that go down for them?	You can't blackmail us.
Unpleasantly.	Unpleasantly.
And I'd enjoy it.	On my life.
OK, listen up. Everyone in the hospital knows Carla's pregnant, but they don't know that she doesn't know. We need her to find out on her own before anyone congratulates her, OK? Here's the plan. The three of us are going to run interference. Dr. Cox, Dr. Kelso, I need you to get her to take another pregnancy test. This plan is foolproof.	Thank you.
You go left.	Heh, we'll see about that.
Actually, I need to come with you.	OK. That was right.
Uh, she went up to the roof to get some air.	Where's Carla?
Follow her. Lock her up there.	Oh.
Hello, Janitor, waiting around the corner to grab me.	You got it.
I'm holding a GPS warning device that goes off whenever you come within a hundred meters of me. It's responding to a tiny sensor in your stomach.	How'd you know that was me?
You'll never get anywhere near me.	I knew that wasn't a penny.
Yeah, we will see.	We'll see.
The only thing left to do? See.	Oh, we're gonna see.
We'll see.	You're going to pay.
OK, bye.	No time.
I don't know, I'll have someone from the psych ward check her out.	What's she yelling about?
I was a little anxious because it was tie to change Mr. Beeper's batteries. All clear to the left, all clear to the right. You can do this.	Hey. Dr. Dorian, I got those batteries you asked for.
As I lay there, watching Nurse Roberts hammer-throw 23 pounds of high end fruit my way, I could take solace in one thing.	He's 100 meters away, and it's going to take him at least ten seconds to change those batteries. That's not even a world record pace. Ready, set, go.Time!Still got it.
Any second now, Carla and Turk were coming to tell me they were pregnant. Carla had to believe that I was truly surprised.I was the lynch pin of our plan. Showtime.	We're having a baby!!
What's the scoop? I would have no clue what it could be.	Hey, J.D. We have such big news!
Oh!	We're having a baby!
Now give them the ten minute emotional roller coaster ride that is the speech you've been practicing all afternoon.	Oh!
Carla, when Turk first told me, I	Now give them the ten minute emotional roller coaster ride that is the speech you've been practicing all afternoon.
Oh boy.	What do you mean "when Turk first told you?"
What would you have thought of doves?	Uh...We've known for a day. That pregnancy test you took yesterday was positive. Yeah, I wanted to have everybody at the hospital gather outside and surprise you with balloons and stuff.
Then I witnessed one of those moments that let me know in my heart that these two would be together forever.	So everybody already knows?
Yeah, we are.	Who cares? We're having a baby. We're having a baby!
Oh, no no, I know I've got the hair, but I'm not one of you people...Hello, how are you? Well, I have been known to tambour.	Hare Krishna, Hare Krishna/ Krishna Krishna Hare Hare...
After our tambourine jam they gave me some literature, but I'm not the type that's easily sucked in by that stuff.	Hare Krishna Hare Krishna...
Praise be to Krishna! Dammit.Hey, Mr. Coleman, how are you feeling?	Good morning, Dr. Dorian.
Um, Mr. Coleman, the hepatitis is doing a number on your liver. You're obviously very jaundiced...yellow! Oh, mellow yellow, I get it, that's funny! You know, I never knew what that song was about. Now I now I finally get it. Liver disease. Anyway, we're going to give you suppressive therapy and do everything we can to make sure you don't need a liver transplant, OK?	They call me mellow yellow.
All right, see you, Mr. Coleman.	OK.
Unfortunately, a month later...	All right, see you, Mr. Coleman.
Frank, we have no more options. We gotta get you a new liver.	Let's hear it.
All right, buddy. Today's the day.	Something horrible just happened.
The amazing thing about livers is that a healthy person can actually have part of it removed and give it to somebody else. For Frank, that person was his brother, Marc.	All right, buddy. Today's the day.
Marc was a stand-up comic on a cruise ship.	Hey, somebody order a liver? Ha ha ha! Uh oh. Jello? Jello? Is this thing on?
He was a genius.	If I'm not careful, they'll put me in the pun-itentiary.
I didn't either. Hey, Turk, if you ever donated a body part to me, you know which one I'd want?Hey, thanks for the butt, playa!	I didn't get that one.
I do, Carla. I'm building something.	You better have a reason for taking my man's badonka-donk donk.
A brick house!	What?
I do.	Tell Todd he can kiss my big, black ass. Bet you wish you could say that.
You know, you could be a dynamite center square.	How does he come up with this stuff?
You mean we are off. I changed my schedule which means I have Thursday nights off which means we are going out which means you are going to be my wingman. Even though you're horrible at it.	Dude, four more hours and I am off.
Turk, are you sure this isn't offensive? It doesn't look like anybody else is wearing a costume.	When have I been a bad wingman?
All right.	Buddy, relax. These are my guys, all right? As long as you're with me, they're going to find this funny.
Wazzup!Waaaah!!	That looks like Talia.
Wooo! Ahh!	My bad, my bad.
Every time I saw them they yelled out "cracker." How did they know I love crackers?	That that wasn't Talia.
Good luck fellas.	Wish us luck guys!
We'll be rooting for you.	All the best.
And I will see you later.	Good luck.
I am so mad at Lorelei I can't even talk right now.	Did you see it?
It's great. You surround yourself with some new friends. You say one clever thing and you're in. Watch this. You guys, let's tally it up, gather round! Whoa, Carol! 180, amazing! Lisa, you had a 125. Turk, 192!	I can't believe people hang out at bowling alleys now.
And bowled a gentleman's 40. Now, who wants to help me off with my shoes? I forgot to wear socks.I'm losing them.	That's how we do!
Nice save.Krishnas.	If you ladies remain in this area, we'll bring back drinks.
Wazzup?	Good to see you again.
Look at you, man, you're color's back, there's no sign of infection.	Oh.For the next twenty minutes, you will sit in silence while I tell you why the Detroit Red Wings are the greatest franchise in the history of professional sports. On September 25, 1926...
You look great, man, I'm glad.	I feel I feel great.
Unfortunately, things weren't going as well for Marc.	Thanks.
Sometimes that's the way life works. The ones who do the nice things suffer the most. Whether it's giving up Turk Night for a friend...	He's hypertensive and tachycardic.
...Or going out with an intern to make your wife happy...	Just get them done.
...or agreeing to be the bad guy for your boss.	Oh my God.
When you're the one paying the price it can really make you wonder...	Hi!Oh, come on!
He's bleeding out. Prep the OR. CAN I HAVE THE CRASH CART IN HERE!!	When you're the one paying the price it can really make you wonder...
...was it worth it?	He's bleeding out. Prep the OR. CAN I HAVE THE CRASH CART IN HERE!!
No, man, we're all cool now. They even invited me to this alumni thing they're having in January.	Dude, you got bowled by my frat brothers.
Sounds hot. Hey, we're going out Thursday, right? Because I went online and got a magic eight-ball bowling ball. Check this: Are the ladies going to love this? "Ask again later?" Oh, I'm just kidding, it says yes.	The Martin Luther King Fling?
You're going. Where are the interns?	You know what? Thursday night might not work for me.
What?!	They're with Dr. Cox. Apparently he's mentoring them and talking to them and stuff.
Oh. My. God.	I might have an answer for that: Ew. I mean come on, children, what do you actually think is going to happen here? Do you think I'm going to take you and sit you down next to me and say, uh, "listen, um, if you need anything......you've got my pager. Just know that I'm there for you, always."
No! Zip it! I am so G-darn pissed right now. I was OK when you kept me at an arm's length because everybody said "that's just Cox. That's how he operates." And I believed them. Now I walk in on this. This bi-racial love fest? You know what? I hate to do it, but I'm giving you back the pencil. That's right. The pencil you gave me on my third day of work. You handed it off to me like a like a tiny yellow baton. Like you were trying to say to me "J.D., you are the new me. You, J.D., are my mentee. You are my son."	Newbie...
Oh, that's perfect.That's perfect. You know what, take it!Maybe you can use it with Rex, or Gloria, or that guy.	What pencil?
Heh. His name is Leslie. His name is Leslie. You're name is Leslie. All right, good for you, Leslie.LESLIE!	That guy's name is Leslie.
How dare you!	Jordan, you promised this would never happen.
I can't right now, I gotta go check on Frank.	J.D. Can I talk to you?
Hey, Turk, you wanted to talk to me?	Oh, I didn't tell Frank. Look at him. He's so happy. If he knew what I went through, he'd feel terrible. Why would I want to do that to him when I love him so much?
I'm having a great time, man.	Uh, reggaeton.
Cheers.	Me too.
Hey little guy. Doug's still pretty upset about the whole thing.	Plagh!
Carla being pregnant had changed everyone. It made Dr. Kelso softer.	Diseased rodent should be nowhere near my pregnant princess.
Carla's pregnancy also affected Elliot.	Ahh, I think the children in pediatrics would love this little fella. Ha ha!
As for me, I bought a custom-made Italian suit.	Keith, we're doing this. I need it.
Eh? What do you think? I had it made for the christening. That little mixed-race embryo got a godfather yet?	As for me, I bought a custom-made Italian suit.
Thanks for your opinion, Carla. But I'm much more interested in what you all think.	You know what, I'm not sure that suit works on you.
Well, who cares, Lonnie. Because all that really matters is whether or not America loves it.	We don't love it.
He's a dynamite tailor. Not sure why he's here.	For the last time, it's Americo. And of course I love it. I made it!
How you doing, buddy?	You better put your scrubs on, Herbert's back.
Because of his weight, Herbert was a frequent visitor and no one liked treating him.He wasn't a mean thing. See, with big people, even the simple stuff is more difficult. I didn't mind, because Herbie was my man.	How you doing, buddy?
How you feeling, love bug?	Because of his weight, Herbert was a frequent visitor and no one liked treating him.He wasn't a mean thing. See, with big people, even the simple stuff is more difficult. I didn't mind, because Herbie was my man.
Herbie, it's not a bath house.We'll get those bandages off later today, Mr. Brooks, all right	Fully loaded. Hey, it's time for my sponge bath, right? I need three girls...
And just like that, I had the chance to comfort Claire.	You turned me down fourteen times for drinks. Well, who's the creepy loser now, huh?
You look like you need to be rescued.	And just like that, I had the chance to comfort Claire.
Life was good, but then came a surprise visit from my brother, and a round of the game he likes to call "Watch her leave."	You look like you need to be rescued.
Yes, she was, Dan. Thank you. We'll be right back.	There's no easy way to say this. We've got the crabs.Oh, she was cute.
Well, you know, Mom does what she has to do.	I had to blow out of town. Mom doinked her new boyfriend and then goaded him into getting me a job interview where he works. Yuhh.
Don't call him Coxsmith.	That does not count as a formal hello, Coxsmith.
Well, OK.	I call him Coxsmith.
And they weren't. They were taking it all in stride.	Nah...
What's up my negro amigo?	Oh, and if you mention the names to anyone, they'll ruin them for us, so don't tell anyone, OK? No one.
Hey, I paged you because I can't figure out what's going on with Herbert. He's got acute back pain and no cauda equina signs.	Nothing.
Oh, you know what, I'll be done in a couple of seconds. We'll find her.	Oh, she's at home.
Thanks a lot, dude.	Dan train. Woo woo!
That Dan train used to hook up with Elliot.	What?
Doctor-patient confidentiality goes both ways, Mr. I-Prefer-My-Temperature-Taken-Through-the-Back-Door.	So? Man, your boy J.D.'s been telling him that Elliot still likes him.
Look, Dan doesn't exactly have the world by the tail, OK? Every time he calls me all depressed, the only thing I can think of to cheer him up was to say "Elliot still digs you." I'm just trying to find a way to make him feel good about himself, you know?	What? I mean it tickles.
What about Tiger?	If we have a boy, we're gonna name him George.
Oh boy.Call Elliot...call Elliot...No. N Call Elliot...got her...	Hey, man, where'd your brother go, anyway?
Now that Dan knew that Elliot wasn't in to him, my focus had shifted from keeping him away from her, to avoiding him so he doesn't kill me.	It's so funny the way kids are, isn't it? Ha ha ha! You never know how it's going to go.
Hey, Mr. Brooks, let's get these bandages off you.What are you doing here?	Now that Dan knew that Elliot wasn't in to him, my focus had shifted from keeping him away from her, to avoiding him so he doesn't kill me.
As long as you're not my brother.	Mr. Brooks wanted some safety tips on how to safely operate propane heaters.
Yeah.	I had a brother once. Well, I shouldn't say once, he's still my brother. My parents adopted him when I was about 12. He was about 46. Actually older than my parents. His name was Cleat. And he talked like this. Howsitgoin? Howsitgoin? Good kid. Did what they said. Make the bed, mop the floor, sweep the lawn, whatever had to be done. Everything was good till he was in his fifties, and then, wow, did he have a midlife crisis. Him and my dad fought constantly. And I mean, really, physically beating on each other. But I don't blame him for it though. I blame my mom for sleeping with him. That's just out of line.
Watch what?	Anyway, the reason I'm telling you this is because your brother told me that if I could keep you focused on me, he would let me watch.
WAAAAHHH!!	Hey, little brother.
I guess I could help you name her. Let's see. It's a girl hamster, what about Angie?	Ah-ah... Where did you come up with that name?
Me too. Angie, guys?	I love it!
Angie it is.	Yeah!
Wait, Turk, it was an accident, OK? The name just popped into my head!	Hold his arms!
No! Turk!	Shut up!! You just shut up right now! Pink belly.
Unfortunately, Turk was the greatest pink-bellyer in all the land.	No! Turk!
So, Herbert, how you doing with your diet, man?	Why the hell not?
Uh, Turk was so proud of his handiwork that he signed it.I think he knows it's so painful I won't be able to wash it for some time.	The best I could do, man. How's your tummy?
Actually, we were. Because the way the whole brother thing works, now that Dan had beaten me up, it was all over.	Hey, man, y'all two OK?
Or not.	WHY DID YOU LIE TO ME ABOUT ELLIOT?!
Oh, come on, man, a girl like Elliot could never be into somebody like you.	Or not.
The obvious response was that Elliot was looking for a guy with more going on in his life. And the only way to gently break that to my brother was this:	Why wouldn't she be into me?
Elliot wants to have kids right now, and she knows you're not ready.	The obvious response was that Elliot was looking for a guy with more going on in his life. And the only way to gently break that to my brother was this:
Elliot! Elliot!	Herbert, I'm afraid your back pain might involve your spinal cord, so we need to get you an MRI. Now where is my pen?
My brother is on his way up. You have to tell him that the only reason you don't want to be with him is because he doesn't want kids right now.	'Sup, J.D.?
Elliot, the last time I was honest with Dan about his life it just made him feel like crap. And he didn't talk to me again until our dad died. Do you really want me to do that? Because I'm not sure what would get us back together this time. Dad can't die again.	J.D., just tell him the truth.
All right, man. Say hi to Mom for me.	I got a good feeling about those two. Well, I'm off.
And like that, he was gone.	Yup. Get my stuff.
OK, guys, let's all gather round, huddle up. Now, you guys, Herbert in there needs an MRI, but he won't fit into our machine. Does anybody know what we should do?	Yeah. I gotta vomit first.
Nobody wanted to say it, but sometimes when hospitals have Herbert-sized patients they'll send them to the one place that has MRI machines big enough: the zoo.	OK, guys, let's all gather round, huddle up. Now, you guys, Herbert in there needs an MRI, but he won't fit into our machine. Does anybody know what we should do?
I know what you're all thinking, but I'm not going to do that to Herbert, it's too humiliating.	Nobody wanted to say it, but sometimes when hospitals have Herbert-sized patients they'll send them to the one place that has MRI machines big enough: the zoo.
Why do you hate Herbert?	Damn.
Spare me the tough love speech, all right? You really think that going in there and being mean to Herbert is going to cause him to turn his life around and lose 100 pounds?	He's been in here seven times, all for weight related problems. I mean, he's never even tried to get healthier. Sometimes protecting someone's feelings isn't the best way to go.
Hey, Dan?	Yeah, I thought he was gonna learn how to tie knots.
I do, but I want to talk to you about something.	Hey, Johnnie. Just packing up. Thought you had to work?
Elliot doesn't want to have babies with Keith.	Yeah, what's up?
When I said Elliot would never be into a guy like you, it's because you're a 35 year-old bartender who still lives in our mother's attic and is showing no signs of changing. I'm not saying this to make you feel bad, Dan, I'm telling you this because I think you have the potential to do whatever you want to do with your life. But you have to actually try.	Huh. Tough break for Keith. You know, I almost had a threesome with that guy.
And then I got the answer I expected.	When I said Elliot would never be into a guy like you, it's because you're a 35 year-old bartender who still lives in our mother's attic and is showing no signs of changing. I'm not saying this to make you feel bad, Dan, I'm telling you this because I think you have the potential to do whatever you want to do with your life. But you have to actually try.
Even though I knew my brother wasn't going to change, Elliot was right. It comes down to what helps you sleep at night.	Don't you have to get back to work?
Whether it's a sense of denial......or the fact that you love your son.As for me, I was just happy to get some rest.	Who are we kidding? This is so real now, there's no way we can sleep!
Hey.	Whether it's a sense of denial......or the fact that you love your son.As for me, I was just happy to get some rest.
You know what, man, you might as well just keep it.	Hey, Johnnie, is it cool if I borrow this suit? I figured I might wear it to that job interview.
I think you can do whatever you want to do.	Yeah, I'll keep it. Hey, uh, you think anyone would ever really hire me?
No, he wouldn't.	That's Optimus Prime, and I don't think he'd appreciate you calling him the big, ugly one.
Not Optimus.	No, he wouldn't.
Turk gets defensive when it comes to his mother.	What do you mean "did?" J.D., last Christmas I walked in on Turk and his mom cuddling in bed.
Whoa! We should probably take a break.	I think you're just jealous because your mom's dead.
I can't get this crib together. And would somebody please bring me a glass of water?	But, baby, it's too soon to be putting a nursery together, or test driving minivans, or buying baby monitors.
Thank you.	You go this time.
Thinking about Turk and Carla becoming parents made me think about my own mom, and how much she probably misses me. I bet she wishes she could see what life is like around here through my eyes.And that's why I strapped my video camera on top of my head.	Thank you.
Lonnie.	Morning, weirdo.
It was the perfect idea. She got to meet my superiors.	Lonnie.
I even got some great footage of Dr. Cox.	Sorry, the old man stole some ice cream.
I'm making a video postcard. Do you have a message for my mom?	Where the hell have you been?
She had a hysterectomy last month. I'm sure I can just edit over that part.	No, but since she brought you into this world, I have a message for her uterus.Bad uterus! Don't do that anymore.
Mr. McNair had locked-in syndrome. A paralysis so severe that he could only communicate through a computer that responds to his eye movements.	Let's go see Mr. McNair.
Oh, thank you for asking, Mr. MacNair. You see, the thing about Dr. Cox is the closer he feels to a person, the more he means to push them away. So when he calls me Ava, he's actually saying "J.D., I care about you." Vulnerable people, like...	Why does he call you a girl's name?
Now you're being a jerk...jerk...jerk...jerk! JERK!	Oh my God. I get it now. Carol...Carol...Carol...Carol...Carol...
What?	Newbie!
My bad.I felt bad for Mr. McNair, but I was off until six tonight, so I decided to grab a quick nap in the sun.What the...whoa!	I'm relatively certain the computer is broken.
Where am I? Hello? Anyone?	Have you seen J.D.?
WAAAHHH!	Uh, 6:00.
Cold.	How was your day?
Even though the Janitor had basically kidnapped me, when he helped me up, I couldn't help but feel there was hope for our relationship yet. I guess being locked up all day really make you appreciate the things that really matter...	Now help him up so he thinks there's hope for our relationship yet.
OK, moving on. It was time for my new daily ritual: asking Dr. Cox to lunch.	Waiting for my moment.
Hey, Dr. Cox, what are you doing for lunch?	OK, moving on. It was time for my new daily ritual: asking Dr. Cox to lunch.
Oh, good luck eating. This is every spoon from the cafeteria. And guess what? Today just happens to be soup and frozen yogurt day.	Not having it with you, Paula.
Because it's ludicrous.	Lunch for us, not going to happen. Normally, I'd tell you something harsh right about now, like "we're not friends," but then you'll just grin that stupid grin and shake your head back and forth, like "how could that possibly be true?"
You called my bluff, and today isn't soup and frozen yogurt day, it's actually salad and smoothie day.	Ah, just give me a spoon, will you please?Oh, for goodness sake.
I think I may vomit.	I got a hot Italian sausage for you right here! People think I just luck into these situations, but it's really a lot of hard work. You know what else is hard? I should go.
Some doctors like to change into their streets when they go out for lunch. Not me. I like how the world reacts to me as a doctor. Whether it's a friendly greeting from the world's slowest bagger...	I think I may vomit.
Lookin' good pal, eggs on top, OK? Eggs on top.	Hey there, Dr. Dorian.
...Or a smile from the manager of the herbal section.	Lookin' good pal, eggs on top, OK? Eggs on top.
Hey, Rebecca, you got that echinacea for me? Just kidding, you know I think all this stuff is voodoo. Good to see you. Hey, looks like somebody else is sick of that cafeteria stuff, huh?	...Or a smile from the manager of the herbal section.
A friend dropped me off.EAGLE!Hey, wanna go splitsies on some deli counter meatloaf? I can't finish a whole serving. I mean I can, but I don't like to. It all goes right here.	Aw, now what the hell, do you follow me here?
Yes, it could be more of a nightmare. Jill Tracy was a former patient who had once tried to kill herself. Sad, yes, but this did not change the fact that she was unbelievably annoying.	Guys!
Oh, we have to get back to the hospital.	Oh my God, what are you doing here? I was supposed to meet a guy for a date. I know what you're thinking, a Tuesday lunch date at the supermarket? He is so not into her. Well guess what? He's not!I waited for an hour just thinking "how many more guys from my yoga class can reject me before just saying enough,"
One of those emergencies, I should probably go, too. How are things?	You know what, Newbie, stay. Have lunch.
Oh, come on, Rebecca, everybody's doing it.I won't tell anyone if you don't.	You know that's stealing.
Security?	Security!
I don't think there's a security force at...OK, hey fellas.	We've got a grazer.
Where's the shaving cream, is that aisle two, still?	Ha ha! Wherever you're taking him, take me, too! Nah, you go ahead.
Most doctors stressed with so many people clinging to life. Dr. Cox vibed on it.	We've been over this before. You win on account of your father's not dead yet.
I do feel like a sandwich.	Sorry, go step up Davey's dialysis to take your mind off of it.Newbie, you feel like a sandwich?
I had one objective: Pick up everyone's lunch at the grocery store and get out of dodge.	You feel more like a pastry, a very doughy pastry. I don't feel good about that. Way too easy.
Whoa!	I had one objective: Pick up everyone's lunch at the grocery store and get out of dodge.
Hey, Jill.	J.D.!
Mmm.	How weird is it that we're both here two days in a row?
It's not not sad.	I was thinking there might be a 50% chance that the guy who blew me off yesterday just got his days wrong and would be waiting here with roses. Is that sad?
That's an awesome story, Jill.	Plus I have the whole day free. My shrink couldn't make our appointment. He found his third wife in bed with his second wife and got so depressed that he downed an entire bottle of his bulimic daughter's Prozac. So now he's back in the hospital.
Ah, what the hell. I can live with one kidney.	Yeah, this will do.
Stay away from my organs!	Because we'll probably just go ahead and sell this one.
Having lunch. The cafeteria stinks and I can't go to the grocery store because apparently crazy Jill Tracy lives there. Every time I try and shop she follows me around, like I'm her only friend in the world. It's pathetic.	Dude, what the hell are you doing?
I'll come, too.	I'm gonna go talk to Carla.
Oh, yeah, Dale, this is totally going to bring out your pecs. Plus, I'm using olive oil so I can lick it off later. Make 'em dance!Oh, they're dancing! Somebody's making them dance! Whooo-wee!Tell them it never happened!	I'll tell you when I first suspected he was gay. It was very subtly, but...
Sure, what's going on?	Dr. Dorian? Can you help me?
She had been, uh, stood up on a couple dates. And, uh, she hadn't seen her shrink in a while. She was definitely depressed.	She was admitted a short time ago and she hasn't regained consciousness. Tox screen's positive for cocaine.Do you think she could have OD'd?
She told me.	How do you know all that?
In hospitals, there are certain rules.With surgeons, if the overcompensating, pumped-up, shaved-down doctor seems gay...	She told me.
...He's probably gay.And if there's good news for one doctor...	No, why?Oh, he's glistening.
...It probably means bad news for another.	People, I've got our organs.
Thank you.	You can use her organs.
No.	Just tell me this: Is there anything anyone could have done?
Unless you mean me.	No.
Any idiot could have seen that Jill was in trouble. I'm supposed to be a doctor, and I'm the reason she's dead.	And why are you not giddy with praise, like those other people? Don't you know I dole out compliments at most once a year? And like a squirrel, you must gather these acorns of kind words to sustain you for the upcoming cold, sarcastic months.
Then he said the words I never expected to hear.	Any idiot could have seen that Jill was in trouble. I'm supposed to be a doctor, and I'm the reason she's dead.
Vintage Cox.	Yes, I can, but I'm not sure just how much we'll get done. I tell you what. We'll go over here and brainstorm while we wolf down these sandwiches. Newbie, come.
You know what I was thinking the whole time I was havig lunch with Jill?	Vintage Cox.
God, this girl's annoying.	What's that?
Why?	I saw her in that supermarket, too, but I'm not torturing myself. Would you like to know why?
OK, I hear you.	Because she didn't come to the hospital looking for help. We just randomly bumped into her out here in the world. I mean, don't get me wrong, if a guy gets shot, or if he has a heart attack and I am physically the closest doctor to him, I will intervene. But shy of that, you can't. I mean, you just can't. It's too much to ask of yourself.
And because he said that, I knew it wouldn't.	No, you don't. Once you start blaming yourself for deaths that aren't your fault, my friend, that's a slippery slope that you can't come back from. And trust me, I've seen it ruin a hell of a lot of good doctors and I will not let it happen to you.
And just like that, whatever burden of responsibility I felt was lifted. But like I said before, good news for one person can mean bad news for another.	Perry, the autopsy just came in on your donor, Jill Tracy. She didn't die of an overdose.
We did everything we could over the next few days to keep the transplant patients going, but odds were against us.First we lost Mrs. Sikes......And then Mr. Dennison.And I knew that Dr. Cox needed me the exact same way I needed him earlier.	I'm the Todd.
Hey. Hungry?	We did everything we could over the next few days to keep the transplant patients going, but odds were against us.First we lost Mrs. Sikes......And then Mr. Dennison.And I knew that Dr. Cox needed me the exact same way I needed him earlier.
I guess that lunch was kind of a one-time thing, huh?There's no way you could have seen that coming. I mean, rabies? Come on, there's, like, three reported cases a year. In fact testing for it would have been irresponsible. You would have wasted time those people didn't have.	No.
You had to be. The fact is, those people were going to die in a number of hours and you had to make a call. I would have made the same call.	I was obsessed with getting those organs.
Yes. Now I got us lunch. And I think we should eat it.Right then I knew I was going to pull him out of this. But unfortunately, sometimes the hospital picks a day where it's just going to pile it on.	Yeah?
