respond	context_0	context_1	context_2
I think I know how to deal with people, Carla. Check this. Cabbage, heat test!	Wow. You know, Dr. Cox told me you were getting tough on your interns. I had no idea you were gonna go all cotton ball on their asses.	Uh- oh, Keith. It looks like someone's gone prematurely gray. That's gonna hurt with the ladies.	Identical twins, Turk!
I'll add some milk. Thank you. See?	It's a little hot.	I think I know how to deal with people, Carla. Check this. Cabbage, heat test!	Wow. You know, Dr. Cox told me you were getting tough on your interns. I had no idea you were gonna go all cotton ball on their asses.
And now, it's goodbye, Keith.	Yeah.	I'll add some milk. Thank you. See?	It's a little hot.
Please? I'm in the middle of a very threatening speech.	Not going to happen. I had to strangle a nurse to get this clicky-top.	Interns, gather! The next intern who screws up is going to be suspended for two weeks! This is a list of all of your names. At least the ones I remember. At the end of each day, I will either write a smiley face or a sad face next to your name. One sad face and you are gonzo, and I want to warn you, I write my sad faces pretty darn sad. Allow me to demonstrate. Dr. Cox, may I borrow your pen?	And now, it's goodbye, Keith.
Thank you. So as I was saying, my sad faces...	Return this pen or die painfully.	Please? I'm in the middle of a very threatening speech.	Not going to happen. I had to strangle a nurse to get this clicky-top.
Anyway, I know it's in pencil, but that's what a sad, two-week suspension face would look like, all right? Very, very sad. Yes?Who tried to give Mrs. Meadows an ACE inhibitor? She's six months pregnant, she could have lost the baby.	Excuse us for one minute, there, Devin, Eric, um. Hmm..	And if you feel your credibility slipping, you might have to excuse yourself for a moment.	Elliot, I gave it to you, you have the note, you give it to them.
Oh, Cabbage. Not you, Wolfman. Ugh.	That was me, sir. Sorry.	Of course, sometimes there's nothing you can do.	Anyway, I know it's in pencil, but that's what a sad, two-week suspension face would look like, all right? Very, very sad. Yes?Who tried to give Mrs. Meadows an ACE inhibitor? She's six months pregnant, she could have lost the baby.
No, I drove Cabbage out. That's Keith.	Why? You got what you wanted, you drove Keith out of here.	Nah, I'm just kind of sad about my intern.	You bested me again, you little chocolate bitch.
Oh, I don't have it.	That's Keith? That kid's the best intern we've got. Hell, I'd like to bronze him and turn my office into a Keith-edral and convert to Keith-stianity. F.Y.I., I still want my pen back.	No, I drove Cabbage out. That's Keith.	Why? You got what you wanted, you drove Keith out of here.
What's not over?Do you know what's not over?	You damn sure better find it, Newbie, and when you do, I want it buffed, shined and de-nerdified.You think that's funny? This isn't over.	Oh, I don't have it.	That's Keith? That kid's the best intern we've got. Hell, I'd like to bronze him and turn my office into a Keith-edral and convert to Keith-stianity. F.Y.I., I still want my pen back.
Cabbage is back! Gang, I should have made it clear, earlier. The suspension policy begins today at 4PM. So, my apologies to Cabbage.	And now, to take care of my boy.	You're gonna be an awful father!	Get over here, boy! You come over here and give your father a hug!NOOOOOO!!!!Dude, you all right? You were gone for a really long time.
You get in there!	That's OK, Dr. D.	Cabbage is back! Gang, I should have made it clear, earlier. The suspension policy begins today at 4PM. So, my apologies to Cabbage.	And now, to take care of my boy.
Let me explain something to you, Keith, OK? I treat each and every one of you like unique individuals, OK? Take Gloria, for example, she's 400 years old. She needs to sleep a lot. I work around that schedule.Wolfman has gotta be home by daybeak, so he does all of his work come nightfall. Crazy Barry. Not allowed near children. We work around that.	This is totally unfair! If I had messed up, I'd be gone.	You get in there!	That's OK, Dr. D.
Not everyone's last name lends itself to a nickname, Keith.	How come I don't get a nickname?	Let me explain something to you, Keith, OK? I treat each and every one of you like unique individuals, OK? Take Gloria, for example, she's 400 years old. She needs to sleep a lot. I work around that schedule.Wolfman has gotta be home by daybeak, so he does all of his work come nightfall. Crazy Barry. Not allowed near children. We work around that.	This is totally unfair! If I had messed up, I'd be gone.
And what am I supposed to do with that? OK, I'm not a magician.	My last name is Dudemeister.	Not everyone's last name lends itself to a nickname, Keith.	How come I don't get a nickname?
You see, Dr. Cox, I treat each and every one of my interns differenly...	Ruh? Why is that screw-up still here?	Those are beautiful antlers.	Hey, Newbie!Watch out for the bedpan. Now we're even. But answer me this one question, will you please?
that nickname will never stick. It's too long.	And, you're done. So, you accidentally drummed your friend out of here because you were trying to eighty-six the Dudemeister, eh?	You see, Dr. Cox, I treat each and every one of my interns differenly...	Ruh? Why is that screw-up still here?
OK, this sucks. But at least I didn't forge a note from a dead father.	Yeah, you do.	I don't remember who made those mistakes.	Hey. Dr. D, is the IV supposed to leak like this?I'm not quite sure what I'm looking at here.Don't worry. You're going to feel much better after I insert this suppository.
Oh!	Oh, really?	Hey, Todd. My buddy, Keith, here, says you're no good at rat-tailing.	Time to give Keith, here, a little treat.
Oh, he's good, Keith. Really good.	Yeah! There! Tell him I'm good!	Oh!	Oh, really?
Yeah, about coming back...	I know what you're going to say. I really am suspended for two weeks. But I promise, I'll do much better when I come back.	Hey, Jason, uh, we need to talk. Look, you're you're not progressing as fast as the other interns, and you've been making a lot of mistakes lately.	Hey, Dr. Dorian.
Mostly, because they never let me speak.	You saw him do it, didn't you, Paco?	Frankly, the whole thing disgusted me.	Liar!
I hate the pickers' bunkhouse.	Paco, you can't talk because you lost your tongue in that cider press accident last year, remember? Now back to the pickers' bunkhouse!	He hid them in his pantalones. He loves these apples. He makes apples pie, and apples juice with them.	Mostly, because they never let me speak.
Still, she was sick, so we couldn't go far.	I'm going to miss the feel of sand between my toes.	And I hate Keith. Which begs the question: why do I insist on being a part of their foreplay?I guess I needed a distraction because last week we all thought Mrs. Wilk was going home, but she got an infection. Despite our best efforts, she was now going to die. To make her happy, we decided to take her to the beach.	I hate the pickers' bunkhouse.
I thought we had more sand.)	Aw, shut up and move the Sunbrella, will you? I'm freckling.	Want me to bury you?	Still, she was sick, so we couldn't go far.
Take it away, Coxy.	That was the ending to Cocoon.	Oh, oh, uh, OK, yeah, um...OK, death is like a journey. Uh, a journey in a boat, and uh, then this giant light shines down on, on your "boat," and um, um, it carries you up to the heavens.	All right, we will. Newbie, go.
"We?" He said "we." After all these years, he's finally made us a team!	Listen up. We don't need any of your head-shrinking.	I was tempted to take him up on it, but then Dr. Cox said something.	I understand you guys spend most of your time fighting death around here, so it's it's understandable that you're made uncomfortable by this. Now, if you'd like, I'm willing to counsel both of you.
Easy. Now is not the time to discuss the Dorian-Cox clinic, Much less the relocation to Jacksonville.	What?	Yeah, Hedrick! If it was up to us, we never even would have called you! We can handle death just fine! We might even be going into private practice together.	"We?" He said "we." After all these years, he's finally made us a team!
Oh, I tried to, Perry, but I'm having some scooter trouble.	Hey. I thought you went home already.	I was hunting for bigger game.	Keep moving, C-Bear.
I was in the Porsche. I had never made it into the Porsche. It smelled like German heaven. I wasn't gonna blow this opportunity. I had to be careful about every little	Come on, I'll give you a ride. Let's go.Can you believe the huevos on that Hedrick? Holy cow, it's like we've never had a patient die on us before. Uh, I gotta put this bag in the trunk.	Oh, I tried to, Perry, but I'm having some scooter trouble.	Hey. I thought you went home already.
Apparently you're not familiar with the John Dorian three tap method. Three taps and the foam goes bye-bye.Works every time.Oh. Ahhh! The quickest way to my house is to take Elm.	Don't open that soda. It's been rolling around on the floor for months, it will explode.	Hey, a root beer!	I was in the Porsche. I had never made it into the Porsche. It smelled like German heaven. I wasn't gonna blow this opportunity. I had to be careful about every little
Coming to you, Mr. Johnson.	Are you done with my arms?	The good news is it looks like he has a soft face.	If he keeps ignoring my threats I I'm gonna have to hit him.
Yeah, is that what it is?	All right, Lester! We are having this out, right here, right now!Oh, for the love of God. What is this, some pansy, get-in-touch-with-my-feelings-because-my-mommy-didn't-love-me group?	Yeah, you're right. Still a little sticky. Not yet ready for passengers.	Dr. Cox and I decided to give Hedrick a piece of our mind. Unfortunately, I had lost front seat privileges.
Oh, we should probably go.	Actually, this is a support group for the terminally ill.	Yeah, is that what it is?	All right, Lester! We are having this out, right here, right now!Oh, for the love of God. What is this, some pansy, get-in-touch-with-my-feelings-because-my-mommy-didn't-love-me group?
That guy looks fantastic. What do you think he's dying of, a case of the handsomes?	Yeah, Newbie, what do you got?	Dr. Cox.	Oh. Good.
It's too much, I know.	No!	We love it.	Don't ever get sick and tired of that, it is awesome being that.
We'd been there before when someone died. But this felt different.	Should be any minute now.	And that was the moment it got real for Elliot.And for Dr. Cox and me.	Oh, Elliot! You like him!
We were definitely in the depression stage. And bless Hedrick, he didn't say it. All he said was...	She's gone.	We'd been there before when someone died. But this felt different.	Should be any minute now.
Letting go is never easy.Whether it's letting go of the leverage you had over your boss...	She was lucky to have you two as doctors.	We were definitely in the depression stage. And bless Hedrick, he didn't say it. All he said was...	She's gone.
She was.	She was a great old gal.	But there's nothing more difficult than letting go of someone you cared about.	I'd love that.
That's the rhododendron, Keith, everybody knows they smell like pie when they bloom.	Does it smell like pie crust?	Keith didn't know I mildly disliked him. He also didn't know I was rubbing Crisco on his back.	Oh, God, no.
Thank you!	Hey, nice new watch, J.D.	That's the rhododendron, Keith, everybody knows they smell like pie when they bloom.	Does it smell like pie crust?
Come in, brown bear.	It wasn't a watch. Now that Elliot had gotten serious with Keith, I needed to get tighter with Turk. And since he's so busy being married and trying to have a baby, I had only one option.	Thank you!	Hey, nice new watch, J.D.
I got us watchie-talkies	Come in, brown bear.	It wasn't a watch. Now that Elliot had gotten serious with Keith, I needed to get tighter with Turk. And since he's so busy being married and trying to have a baby, I had only one option.	Thank you!
That's not my handle.	Hey, white shadow.	I got us watchie-talkies	Come in, brown bear.
Right on. Hey, what are you doing, man? I'm about to take out the slip and slide. Let's do it.	Hey, Gizmo.	That's not my handle.	Hey, white shadow.
Awesome, check this.	Dude I can't.It's baby-making time. How's it going with Keith?	Right on. Hey, what are you doing, man? I'm about to take out the slip and slide. Let's do it.	Hey, Gizmo.
Yes, Rex?	Dr. Dorian?	It's just too much. Sorry, I switched places so I could go again.	It's way too much.
Mrs. LeVinne has dementia, Rex, and I know she loves sweets. So take the pill, put it in some raspberry jam, put it on your finger, dip it in her mouth, helloo!	Uh, Mrs. LeVinne won't take her medication.	Yes, Rex?	Dr. Dorian?
No problem, brown bear. Are you nude right now?	Hey, Gizmo, can you check on Mr. Jensen for me?	It really is unfair, you guys!	So unfair.
Because your voice is always higher when you're nude.	Yeah! How did you know?	No problem, brown bear. Are you nude right now?	Hey, Gizmo, can you check on Mr. Jensen for me?
I was just glad to watch TV and for once, not be in a world of crap.	Ohhh....	You firing blanks, buddy?	Oh, honey, stay calm. Nobody knows but us.
Or not.	Why didn't you stand up for me?	I was just glad to watch TV and for once, not be in a world of crap.	Ohhh....
Not reading you, Brown Bear! I repeat, are you still sterile?	Uhh, can't talk about that right now, I'm in an elevator.	How did you do that?I'm having a rough morning, Brown Bear, how you doing with your sterility?	Oh, looking for this?
Waah! I'm hit! I'm hit!	Huah!	Come in, Brown Bear, come in Brown Bear. If you're around, I'm having some java out front.	They're kielbasas.
Well, you're in luck. This happens to be my specialty. Here's some tips. If you can't get over the fact that you're doing it to yourself, sit on your arm until it falls asleep, then pull it out and use that. I call it "The Stranger."	You know I'm not comfortable getting busy with myself.	Of course, buddy.	All right, look. I know I said I wanted to go by myself to get tested today, but I've been doing some thinking and I'm scared. So, it'd mean a lot if you went with me.
I can't believe you're ready to have kids. We spend all day taking care of old people, washing them, cleaning them, why would you want to bring that home?	If I ever have kids you are never allowed to babysit.	Well, you're in luck. This happens to be my specialty. Here's some tips. If you can't get over the fact that you're doing it to yourself, sit on your arm until it falls asleep, then pull it out and use that. I call it "The Stranger."	You know I'm not comfortable getting busy with myself.
All right, fellas, two quick announcements! First of all, whoever's been filling up my Tivo with JAG reruns, let's cut it out. Secondly, Harvey, no matter how drunk you get, I like to sleep alone.	J.D., we're talking about kids. Not going home to a house full of old folks.	I can't believe you're ready to have kids. We spend all day taking care of old people, washing them, cleaning them, why would you want to bring that home?	If I ever have kids you are never allowed to babysit.
That's your problem, buddy, I got my own thing.	But I like to snuggle.	All right, fellas, two quick announcements! First of all, whoever's been filling up my Tivo with JAG reruns, let's cut it out. Secondly, Harvey, no matter how drunk you get, I like to sleep alone.	J.D., we're talking about kids. Not going home to a house full of old folks.
All right, if you like him, I like him.	Thanks again, Dr. D.	You're right, Lisa, it is too late, because from now on, I'm going to be handing out all the case assignments. For instance, this cool case right here.Should I give it to the most annoying intern? Because that would be you, Lisa. Or maybe I should give it to the most incompetent intern missing a finger, because that would be you Rex. Or maybe I should just give it to the best intern, which would be you, Keith.Now if anyone wants to tell on me, to whomever they like, they can. Good day.Here you go.	It's too late, Dr. Reid.
Congratulations!	Hey! I'm not sterile!	All right, if you like him, I like him.	Thanks again, Dr. D.
My friends were all happy. And even though I felt like the fifth wheel, I could take solace in something.	Turk's not sterile!	Congratulations!	Hey! I'm not sterile!
I had finally won one.	Mmm? Oh. Oh-ho ho. I'm gonna kill him.	Oh, hey, Turk. I forgot, I can't raid the freezer with you.Be careful in there, they lock it up at three.	My friends were all happy. And even though I felt like the fifth wheel, I could take solace in something.
Sometimes you gotta go the extra mile with patients. That's what makes me such a special doctor.	My job is to make sick people better, not to help Bernie in there score a slice of Episcopalian tail on opening night.	Why didn't you just read lines with the old guy?	What page are you on?
Oooh.	That, and your amazing ability to switch back and forth seamlessly between male and female genitalia.	Sometimes you gotta go the extra mile with patients. That's what makes me such a special doctor.	My job is to make sick people better, not to help Bernie in there score a slice of Episcopalian tail on opening night.
Personally, me, I believe that medicine is about more than just treating the disease. You gotta be there for people. Take Mrs. Cohen, right? When she broke her hip I treated that, but she had also left her car double-parked, so being an "extra mile" kinda guy, I went and took car of it.Sorry. It's been a little while since I drove stick.I wonder how she got out of that truck. That's how she broke her hip.	Newbie, snap out of it. I don't have time for your daydreaming.	Oooh.	That, and your amazing ability to switch back and forth seamlessly between male and female genitalia.
It didn't bother me that Dr. Cox just "Kelly Rippa'd" me because I knew it would never catch on, no matter how much he wanted it to. This, however, did upset me.	I'm a *good* doctor. Kelly Rippa!	You can confide in me.	Look, Newbie, there's a reason I can't go the extra mile with patients. It's something personal.
Yes, but the good news is it's very treatable. We just have to get started right away.	What?	Uh, Carol, we got the bone marrow biopsy back and, uh, I'm afraid you have leukemia.	It didn't bother me that Dr. Cox just "Kelly Rippa'd" me because I knew it would never catch on, no matter how much he wanted it to. This, however, did upset me.
All right, I'll find somebody else.	She's already watching someone for me.	Carla, can you cover my patients?	Mr. Sommers is a cousin of one of the trustees. Not important enough to warrant any face time with me, but connected enough that if one of those ding-dongs kills him, it will be my ass.
Uh-oh. Carla's gearing up to explode. Save yourself. Attempt a casual side-switch.And you're there. Now angry at Kelso.	Mr. Barry, I misplaced your chart, I forgot, what's wrong with you again?Oh, that's right, you have a kitty-cat stuck in your mouth.Or should I say you have a person stuck around you, little guy? Gootchie, gootchie.It's not like nurses know everything.	Carla knew that without their charts, doctors didn't know much about their patients.	J.D., why don't you tell me whats wrong with your patient, Mrs. Jones?Without looking at her chart?
Bob, how dare you?	Uh-oh. Carla's gearing up to explode. Save yourself. Attempt a casual side-switch.And you're there. Now angry at Kelso.	Mr. Barry, I misplaced your chart, I forgot, what's wrong with you again?Oh, that's right, you have a kitty-cat stuck in your mouth.Or should I say you have a person stuck around you, little guy? Gootchie, gootchie.It's not like nurses know everything.	Carla knew that without their charts, doctors didn't know much about their patients.
All right, team, let's stay close. Come on. Carol! Look who I found!	Get a load of Mr. Extra-Mile-Guy's leukemia patient sitting there all by herself. Knowing him, he's probably out getting her a cake shaped like a cancerous white blood cell.	I hoped you learned something today.	Exactly, Flo, exactly.
Well, right after I got your test results back, I got on the horn with your dad and we started a phone tree to find everyone. There were some tears, mostly mine, but we got it done.	Larry? Dad? How...?	All right, team, let's stay close. Come on. Carol! Look who I found!	Get a load of Mr. Extra-Mile-Guy's leukemia patient sitting there all by herself. Knowing him, he's probably out getting her a cake shaped like a cancerous white blood cell.
Hear that, Perry? I'm the most amazing doctor because I went the extra 5280 feet. What's that? That's right, it's a mile. And how does that make me feel? Keith!Thank you.	You are the most amazing doctor.	Well, right after I got your test results back, I got on the horn with your dad and we started a phone tree to find everyone. There were some tears, mostly mine, but we got it done.	Larry? Dad? How...?
And I told you I never get dizzy!OK, let me tell you guys why we're here. Carol is starting a journey, OK? Obviously the chemo is gonna be tough, but we're all here for you. Anything you go through, we go through together.	I told you not to call me Lawrence.	EAGLE!	Carol's family had welcomed me as one of their own. No more so than her brother, Larry.
...or as on the ball as you thought.	Fourth?! I'm fourth!	Life in a hospital is constantly humbling. Whether it's making you realize you're not as skilled as you thought...	This is a preliminary ranking of your technical skills. So, whenever you get a chance.
Pause for effect. Pause for effect.	I'm going to go take care of that man and when I come back...	God bless his herpes.	Dr. Dorian, we need you. Mr. Bentley's condition is getting worse.
We're gonna shave this thing.	Pause for effect. Pause for effect.	I'm going to go take care of that man and when I come back...	God bless his herpes.
I'm hiding. I really don't want to be bald. I have a sneaking suspicion it won't work for me. It think it might accentuate my spoon chest.	How's that leukemia patient of yours doing?	I don't think it's funny.	I told you it would catch on.
Plus, the girl I'm dating is totally into my hair.	Mm.	I'm hiding. I really don't want to be bald. I have a sneaking suspicion it won't work for me. It think it might accentuate my spoon chest.	How's that leukemia patient of yours doing?
There is, even if she won't admit it. You know what, I'm stuck, man. I have to shave this down.	No, there's nothing else.	I'm sure there's something else she's into.	If it weren't for your hair, I don't think I'd be remotely interested in you.
That was a long time ago. Maybe you should listen to me for once.	No you don't. You don't have to go the extra mile. That's what I've been trying to tell you. What the hell happened to the days when you used to listen to me?	There is, even if she won't admit it. You know what, I'm stuck, man. I have to shave this down.	No, there's nothing else.
Thank you.	Not in this lifetime. Listen, Newbie, you're not a completely terrible, horrible, incompetent doctor and while I would never let any of my blood relatives be your patient, if it was someone that I knew, an acquaintance, I might be OK with you treating them.	That was a long time ago. Maybe you should listen to me for once.	No you don't. You don't have to go the extra mile. That's what I've been trying to tell you. What the hell happened to the days when you used to listen to me?
She'll be OK. She has all you guys.	What about Carol?	Oh, Larry, man, I don't think I can shave my head.	Hey, where you been?
Oh no, that's Nana.	Dude! There you are. Two things, first, the aliens are here and they're wearing track suits.	Date time.	Whew.Whoa! Nana, how you doing? Looking hot in the track suit. Gym's on the second floor.
Nice.	Oh. Second, I got a job.	Oh no, that's Nana.	Dude! There you are. Two things, first, the aliens are here and they're wearing track suits.
Woo! Ah. Where were we?	And if you hadn't pushed me to do all of that extra mile stuff, that probably wouldn't have happened. So, thank you. You got a hottie waiting for you at the bar. You go get her.	Nice.	Oh. Second, I got a job.
That's one of my conditioners, yes.	Do I smell banana conditioner?	Woo! Ah. Where were we?	And if you hadn't pushed me to do all of that extra mile stuff, that probably wouldn't have happened. So, thank you. You got a hottie waiting for you at the bar. You go get her.
AAHHH!	As great as this was, I couldn't stop thinking about what Turk said and howWhoa, this girl really digs hair. The point is, it's hard getting what happens at the hospital out of your head.	That's one of my conditioners, yes.	Do I smell banana conditioner?
See, that's the thing about and extra mile guy. You never know who it's going to rub off on.	Voila!	I knew if I didn't leave that bar and go back, I'd never be able to enjoy any of the simple things. Even a woman eating my former bangs.	Not helping with the stress.
All right, I'll count. Close a brother up.	I know. It is now my turn to hide.	How bad would she look with red highlights?	Hee hee hee hee!
But the thing you shouldn't toss out is a pregnancy test that takes two minutes longer than you thought.	OH! Oooh! Schoenen busen.	Some things deserve to get tossed out on their asses.	If you would raise my allowance, I wouldn't have to bargain shop so I could buy pizza rolls. Secondly, this pregnancy test works just as well as the name-brand one!Wait a second. Results in three minutes.
Ohh...	I I didn't sleep with Amy Carter. We did everything but.	No. No more. Here are some of the lies you've told us over the last five years: You went to Harvard. You have a wife who only has a pointer and thumb-pinky. You have a a brother-dad, a mother-sister. You have two kids, no wait, you have one kid, no wait, you had a baby with a Chinese local, you're a deaf-mute, oh wait, now you're telling us that you're a world class hurdler and you slept with the beautiful and irreplaceable Amy Carter?	Good race.They offered me a full ride and Grambling, but then I slept with the President's daughter. Not the college president, the President of the United States. But, hey, if Amy Carter asks you out for a nightcap, you do not say no.
We're not buying it, are we gang?	And I really was a world-class hurdler.	Ohh...	I I didn't sleep with Amy Carter. We did everything but.
The people have spoken. Allow me to bask in the glow.	No, nah, heck no...	We're not buying it, are we gang?	And I really was a world-class hurdler.
Not now, Turk, I'm glow-basking.	Oh-ho! J.D., guess what?	The people have spoken. Allow me to bask in the glow.	No, nah, heck no...
Uh, Carla, preggo!	OK, you go	Why don't I tell	What's going on?
This won't be indoors, Turk, and there certainly won't be all those people throwing bird seed. Why were people throwing seed? It's a the point is that you, my friend, have a chance to be on the greatest surprise a husband has ever pulled for his wife. And you get credit for it the length of your entire marriage.	Are you forgetting what happened when you made me have doves at my parents' anniversary party?	Wait, Turk! When has a man ever been able to tell his wife that she's pregnant? Allow me to paint you a picture with my imagination brush, OK? You two come out in the parking lot where all Carla's friends have gathered. They're holding a giant banner that says "Carla, you're pregnant, and I dove you." Did I say "dove?" I did, Turk. That's when I cue the bird-wrangler who releases 500 white doves into the air. Where do they land? I don't know. But one thing Carla knows is that in her uterus is a little, soft, baby Turk.	I haven't told her yet. I'm gonna go tell her now.
Great, I'll tell everybody. You find Carla. Dr. Cox	I'm in!	This won't be indoors, Turk, and there certainly won't be all those people throwing bird seed. Why were people throwing seed? It's a the point is that you, my friend, have a chance to be on the greatest surprise a husband has ever pulled for his wife. And you get credit for it the length of your entire marriage.	Are you forgetting what happened when you made me have doves at my parents' anniversary party?
And Elliot, if you see Carla, don't get emotional.	Fine.	Can you just please not tell Carla?	Ever since I was blitzkrieg'd this morning by an enraged German named Otto, a certain Dr. Barbie no longer exists for me. So, if she was to ask me a question, I wouldn't be able to hear it, and you'd have to repeat it.
Really? Baby.	Oh, no problem.	And Elliot, if you see Carla, don't get emotional.	Fine.
Yeah, I pissed him off earlier today. How am I supposed to avoid him?	Hey, what's up with the Janitor? He seems a little more lurky than usual.	I already have a grandma.If I get one this little, everyone's gonna think I'm gay.Aw, look at this fellow. Come here boy, I got a little hard candy for you.Yes, you're a good boy. You got a candy you can unwrap in a movie theater!I'd name him Sebastian.	He's not good with people.He's great, but we don't want to separate them.
It would take a very clever plan to hide this tiny, penny-like sensor on him.	You should put the hide and seek sensor on him. That way you'll always know where he is.	Yeah, I pissed him off earlier today. How am I supposed to avoid him?	Hey, what's up with the Janitor? He seems a little more lurky than usual.
Spilled mine, too.	I spilled mine, too, honey. You know what you should do? Ask for some of J.D.'s.	I felt like Turk was starting to blame me for all of this.	Turk, I think the answering machine is broken. And I don't think we have any more wine. Can I have some of yours?
What are you going to do?	I'm going to bed.	Spilled mine, too.	I spilled mine, too, honey. You know what you should do? Ask for some of J.D.'s.
Wait, Turk! I have an idea.	I'm gonna go tell her the truth and hope that she's so tired from being pregnant that she doesn't have the strength to kick my ass for more than a few hours.	What are you going to do?	I'm going to bed.
It's a good 'un.	You have another idea, huh? I gotta tell you, I'm done with your ideas. And not just for now, but forever. OK, are we clear on that?	Wait, Turk! I have an idea.	I'm gonna go tell her the truth and hope that she's so tired from being pregnant that she doesn't have the strength to kick my ass for more than a few hours.
OK, we need Carla to find out she's pregnant on her own and we need your help. Can we count on you?	I'm listening.	It's a good 'un.	You have another idea, huh? I gotta tell you, I'm done with your ideas. And not just for now, but forever. OK, are we clear on that?
Unpleasantly.	Unpleasantly.	Really? Because I think you're both very close to Carla, aren't you? And yet you chose not to tell her she was pregnant. Turk how would that go down for them?	You can't blackmail us.
Actually, I need to come with you.	OK. That was right.	You go left.	Heh, we'll see about that.
Uh, she went up to the roof to get some air.	Where's Carla?	Actually, I need to come with you.	OK. That was right.
Follow her. Lock her up there.	Oh.	Uh, she went up to the roof to get some air.	Where's Carla?
Hello, Janitor, waiting around the corner to grab me.	You got it.	Follow her. Lock her up there.	Oh.
I'm holding a GPS warning device that goes off whenever you come within a hundred meters of me. It's responding to a tiny sensor in your stomach.	How'd you know that was me?	Hello, Janitor, waiting around the corner to grab me.	You got it.
You'll never get anywhere near me.	I knew that wasn't a penny.	I'm holding a GPS warning device that goes off whenever you come within a hundred meters of me. It's responding to a tiny sensor in your stomach.	How'd you know that was me?
Yeah, we will see.	We'll see.	You'll never get anywhere near me.	I knew that wasn't a penny.
The only thing left to do? See.	Oh, we're gonna see.	Yeah, we will see.	We'll see.
We'll see.	You're going to pay.	The only thing left to do? See.	Oh, we're gonna see.
OK, bye.	No time.	We'll see.	You're going to pay.
I was a little anxious because it was tie to change Mr. Beeper's batteries. All clear to the left, all clear to the right. You can do this.	Hey. Dr. Dorian, I got those batteries you asked for.	I don't know, I'll have someone from the psych ward check her out.	What's she yelling about?
As I lay there, watching Nurse Roberts hammer-throw 23 pounds of high end fruit my way, I could take solace in one thing.	He's 100 meters away, and it's going to take him at least ten seconds to change those batteries. That's not even a world record pace. Ready, set, go.Time!Still got it.	I was a little anxious because it was tie to change Mr. Beeper's batteries. All clear to the left, all clear to the right. You can do this.	Hey. Dr. Dorian, I got those batteries you asked for.
Any second now, Carla and Turk were coming to tell me they were pregnant. Carla had to believe that I was truly surprised.I was the lynch pin of our plan. Showtime.	We're having a baby!!	As I lay there, watching Nurse Roberts hammer-throw 23 pounds of high end fruit my way, I could take solace in one thing.	He's 100 meters away, and it's going to take him at least ten seconds to change those batteries. That's not even a world record pace. Ready, set, go.Time!Still got it.
What's the scoop? I would have no clue what it could be.	Hey, J.D. We have such big news!	Any second now, Carla and Turk were coming to tell me they were pregnant. Carla had to believe that I was truly surprised.I was the lynch pin of our plan. Showtime.	We're having a baby!!
Oh!	We're having a baby!	What's the scoop? I would have no clue what it could be.	Hey, J.D. We have such big news!
Carla, when Turk first told me, I	Now give them the ten minute emotional roller coaster ride that is the speech you've been practicing all afternoon.	Oh!	We're having a baby!
Oh boy.	What do you mean "when Turk first told you?"	Carla, when Turk first told me, I	Now give them the ten minute emotional roller coaster ride that is the speech you've been practicing all afternoon.
What would you have thought of doves?	Uh...We've known for a day. That pregnancy test you took yesterday was positive. Yeah, I wanted to have everybody at the hospital gather outside and surprise you with balloons and stuff.	Oh boy.	What do you mean "when Turk first told you?"
Yeah, we are.	Who cares? We're having a baby. We're having a baby!	Then I witnessed one of those moments that let me know in my heart that these two would be together forever.	So everybody already knows?
Praise be to Krishna! Dammit.Hey, Mr. Coleman, how are you feeling?	Good morning, Dr. Dorian.	After our tambourine jam they gave me some literature, but I'm not the type that's easily sucked in by that stuff.	Hare Krishna Hare Krishna...
Um, Mr. Coleman, the hepatitis is doing a number on your liver. You're obviously very jaundiced...yellow! Oh, mellow yellow, I get it, that's funny! You know, I never knew what that song was about. Now I now I finally get it. Liver disease. Anyway, we're going to give you suppressive therapy and do everything we can to make sure you don't need a liver transplant, OK?	They call me mellow yellow.	Praise be to Krishna! Dammit.Hey, Mr. Coleman, how are you feeling?	Good morning, Dr. Dorian.
All right, see you, Mr. Coleman.	OK.	Um, Mr. Coleman, the hepatitis is doing a number on your liver. You're obviously very jaundiced...yellow! Oh, mellow yellow, I get it, that's funny! You know, I never knew what that song was about. Now I now I finally get it. Liver disease. Anyway, we're going to give you suppressive therapy and do everything we can to make sure you don't need a liver transplant, OK?	They call me mellow yellow.
Frank, we have no more options. We gotta get you a new liver.	Let's hear it.	Unfortunately, a month later...	All right, see you, Mr. Coleman.
Marc was a stand-up comic on a cruise ship.	Hey, somebody order a liver? Ha ha ha! Uh oh. Jello? Jello? Is this thing on?	The amazing thing about livers is that a healthy person can actually have part of it removed and give it to somebody else. For Frank, that person was his brother, Marc.	All right, buddy. Today's the day.
He was a genius.	If I'm not careful, they'll put me in the pun-itentiary.	Marc was a stand-up comic on a cruise ship.	Hey, somebody order a liver? Ha ha ha! Uh oh. Jello? Jello? Is this thing on?
I do, Carla. I'm building something.	You better have a reason for taking my man's badonka-donk donk.	I didn't either. Hey, Turk, if you ever donated a body part to me, you know which one I'd want?Hey, thanks for the butt, playa!	I didn't get that one.
A brick house!	What?	I do, Carla. I'm building something.	You better have a reason for taking my man's badonka-donk donk.
